name,catalog,class,significance,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,offset,missing,sat_src_flag,extent_flag,conf_flag,cat_ra,cat_dec
2CXO J111514.1-611722,SPICY,YSO,4.2580645161293225,10013,1,0,0,168.8090989569548,-61.28964031276707,0.4524188705869882,0.3076923076923077,0,0,0,168.80893600000005,-61.289542000000004
2CXO J181536.7+612711,VERONCAT,AGN,10.8201895220397,TEX 1815+614     ,0,0,0,273.90316656825826,61.453208336241005,0.4525500139851499,0.4,0,0,0,273.9033,61.4531
2CXO J064051.3+093013,SKIFF,STAR,8.583585587761155,Cl* NGC 2264 DS 187        ,1,0,0,100.21391480535091,9.503709773712645,0.4527662009113922,0.24615384615384617,0,0,0,100.2140417,9.5037222
2CXO J172559.4-341733,SKIFF,STAR,5.411764705882442,2MASS J17255941-3417344    ,0,0,0,261.4975759747823,-34.292766357472054,0.4527779675676098,0.3076923076923077,0,0,0,261.4975417,-34.292888899999994
2CXO J053949.9-283832,VERONCAT,AGN,11.775642854605945,XMM J05398-2838  ,0,0,0,84.95820470402738,-28.64229394985269,0.4528181587361129,0.3076923076923077,0,0,0,84.9583,-28.6422
2CXO J141418.2-614153,SPICY,YSO,2.756756756756733,21489,0,0,0,213.5758582008524,-61.698269754032424,0.4529061381636605,0.2923076923076923,0,0,0,213.575602,-61.698237
2CXO J191058.8+090149,SKIFF,STAR,27.26667586380585,AG+08 2478                 ,1,0,0,287.7450335811292,9.030457732805626,0.452962586681783,0.23076923076923078,0,0,0,287.7450417,9.030583300000002
2CXO J023320.6+613118,SKIFF,STAR,18.166907632985705,HD 15629                   ,1,0,0,38.336044161202324,61.52175933969738,0.4535238833852484,0.2923076923076923,0,0,0,38.3357917,61.521722200000006
2CXO J140322.6+542038,simbad,HMXB,4.9411764705880445,CXO J140322.6+542038               ,1,0,0,210.84444158037263,54.34407150098917,0.4537175244318358,0.4153846153846154,0,0,0,210.84458333333333,54.34416666666666
2CXO J174835.5-295729,SKIFF,STAR,5.701219596654937,HD 316341                  ,1,0,0,267.14812152677223,-29.958105388840288,0.4538011179434674,0.3230769230769231,0,0,0,267.1480417,-29.958000000000002
2CXO J175423.3-295107,SKIFF,STAR,2.85714285714302,CPD-29 4977                ,0,0,0,268.59712283824365,-29.852061054945,0.4538199726447073,0.3230769230769231,0,0,0,268.59725,-29.851999999999997
2CXO J055141.8+024414,SKIFF,STAR,4.61111111111084,AG+02 648                  ,0,0,0,87.92434971397802,2.7373879342695138,0.4541806683124425,0.2923076923076923,0,0,0,87.9242917,2.7375
2CXO J003742.4-334304,simbad,HMXB,4.399999999999938,[GWA2003] 21                       ,1,0,0,9.426995271963337,-33.71781393897365,0.4542026903750567,0.4153846153846154,0,0,0,9.427083333333332,-33.71791666666667
